TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA
AALR3;10,75;0,81;68,56;0,98;0,48;24,40;10,06;1,77;12,07;17,46;5,39;0,44;1,21;-89,85;-0,63;0,98;1,43;0,71;4,36;0,49;0,51;0,40;22,24;;10.060.874,81
ABCB4;15,60;6,73;6,95;0,84;0,07;4,20;2,22;8,62;26,95;26,95;;;0,60;117,15;-0,24;1,00;12,10;1,00;;0,08;0,92;0,12;5,50;8,66;12.488.210,31
ABEV3;13,93;3,52;20,58;3,04;1,93;57,74;28,59;20,26;14,59;13,94;-0,65;-0,14;4,17;37,35;-2,65;1,23;14,77;9,37;19,35;0,63;0,37;0,46;6,67;-0,28;392.462.831,69
ADHM3;2,65;;-3,22;-1,01;82,81;100,00;-13.548,48;-18.860,61;-4,48;-4,48;0,00;;607,30;-1,13;-91,51;0,00;31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;198.864,83
AFLT3;11,78;0,90;30,05;3,37;3,22;64,59;63,12;63,86;30,40;28,08;-2,32;-0,26;19,19;9,56;-4,97;23,21;11,23;10,71;10,08;0,95;0,05;0,17;2,20;11,01;105.899,49
AGRO3;19,11;4,86;9,68;1,08;0,61;30,53;22,22;18,67;8,13;11,88;3,74;0,49;1,81;4,35;-0,86;1,96;11,11;6,34;7,68;0,57;0,43;0,34;29,55;;3.342.820,28
AHEB3;26,99;;-9,08;10,64;0,86;28,11;-15,63;-16,95;-9,85;;1,10;-1,19;1,54;-13,01;-1,05;0,73;-117,08;-9,47;-108,02;0,08;0,92;0,56;-10,10;;13.338,82
AHEB5;25,00;;-8,41;9,85;0,80;28,11;-15,63;-16,95;-9,12;;1,10;-1,19;1,43;-12,05;-0,97;0,73;-117,08;-9,47;-108,02;0,08;0,92;0,56;-10,10;;2.892,33
AHEB6;30,99;;-10,43;12,21;0,99;28,11;-15,63;-16,95;-11,30;;1,10;-1,19;1,77;-14,94;-1,21;0,73;-117,08;-9,47;-108,02;0,08;0,92;0,56;-10,10;;14.330,50
ALPA3;24,92;0,20;61,28;5,12;2,79;51,19;8,15;6,80;51,09;55,24;-1,11;-0,11;4,16;10,84;-6,72;1,79;8,35;4,55;6,00;0,55;0,45;0,67;1,55;-1,97;46.265,00
ALPA4;30,20;0,18;74,26;6,20;3,38;51,19;8,15;6,80;61,91;55,24;-1,11;-0,11;5,05;13,13;-8,15;1,79;8,35;4,55;6,00;0,55;0,45;0,67;1,55;-1,97;58.769.045,92
ALPK3;9,72;;;3,24;0,78;;;;;;;2,46;;-7,60;-0,87;0,50;0,00;0,00;;0,24;0,76;0,00;;;4.913.064,81
